,iso3_country,gas,emissions_quantity,capacity,capacity_factor,activity,st_astext,year,use_biomass,use_gas_or_oil,use_gas,use_coal,use_oil,use_other_fossil,owner_name,owner_direct_parent,owner_grouping,asset_name
60,USA,co2e_20yr,9164000.0,2643,0.424,9815000,POINT(-87.8315 42.8475),2019,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
61,USA,co2,9532000.0,2643,0.441,10209000,POINT(-87.8315 42.8475),2021,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
62,USA,co2e_20yr,7867000.0,2643,0.363,8426000,POINT(-87.8315 42.8475),2020,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
63,USA,co2,7867000.0,2643,0.363,8426000,POINT(-87.8315 42.8475),2020,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
64,USA,ch4,0.0,2643,0.363,8426000,POINT(-87.8315 42.8475),2020,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
65,USA,co2,9164000.0,2643,0.424,9815000,POINT(-87.8315 42.8475),2019,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
66,POL,co2e_20yr,17027000.0,3994,0.454,15940000,POINT(21.462 51.667),2020,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
67,POL,co2,19641000.0,3994,0.526,18387000,POINT(21.462 51.667),2021,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
68,POL,co2e_100yr,19641000.0,3994,0.526,18387000,POINT(21.462 51.667),2021,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
69,POL,co2e_20yr,19641000.0,3994,0.526,18387000,POINT(21.462 51.667),2021,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
70,POL,co2,18302000.0,3994,0.49,17133000,POINT(21.462 51.667),2019,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
71,POL,co2e_100yr,18302000.0,3994,0.49,17133000,POINT(21.462 51.667),2019,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
72,POL,co2e_20yr,18302000.0,3994,0.49,17133000,POINT(21.462 51.667),2019,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
73,POL,co2,17027000.0,3994,0.454,15940000,POINT(21.462 51.667),2020,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
74,POL,co2e_100yr,17027000.0,3994,0.454,15940000,POINT(21.462 51.667),2020,False,False,False,True,False,False,Elektrownia Wytwarzanie S.A.,Enea,Enea,Kozienice power station
75,JPN,n2o,0.0,3874,0.45,15311000,POINT(139.9768 35.4626),2020,False,False,True,False,False,False,JERA Co. Inc,Tokyo Electric and Chubu Electric,Tokyo Electric and Chubu Electric,Sodegaura thermal power station
76,JPN,ch4,0.0,3874,0.45,15311000,POINT(139.9768 35.4626),2020,False,False,True,False,False,False,JERA Co. Inc,Tokyo Electric and Chubu Electric,Tokyo Electric and Chubu Electric,Sodegaura thermal power station
77,USA,co2,9130000.0,2600,0.429,9779000,POINT(-87.6539 36.3903),2019,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
78,USA,co2e_100yr,9130000.0,2600,0.429,9779000,POINT(-87.6539 36.3903),2019,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
79,USA,co2e_20yr,9130000.0,2600,0.429,9779000,POINT(-87.6539 36.3903),2019,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
80,USA,co2,9505000.0,2600,0.446,10180000,POINT(-87.6539 36.3903),2020,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
81,USA,co2e_100yr,9505000.0,2600,0.446,10180000,POINT(-87.6539 36.3903),2020,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
82,USA,co2e_20yr,9505000.0,2600,0.446,10180000,POINT(-87.6539 36.3903),2020,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
83,USA,co2e_100yr,10387000.0,2600,0.488,11125000,POINT(-87.6539 36.3903),2021,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
84,USA,co2e_20yr,10387000.0,2600,0.488,11125000,POINT(-87.6539 36.3903),2021,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
85,USA,co2,10387000.0,2600,0.488,11125000,POINT(-87.6539 36.3903),2021,False,False,False,True,False,False,Tennessee Valley Authority,Tennessee Valley Authority (United States),Tennessee Valley Authority (United States),Cumberland (TN)
86,USA,co2e_100yr,6983000.0,1800,0.474,7479000,POINT(-92.1406 34.4228),2019,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
87,USA,co2e_20yr,6983000.0,1800,0.474,7479000,POINT(-92.1406 34.4228),2019,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
88,USA,co2,3915000.0,1800,0.265,4193000,POINT(-92.1406 34.4228),2020,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
89,USA,co2e_100yr,3915000.0,1800,0.265,4193000,POINT(-92.1406 34.4228),2020,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
90,USA,co2e_20yr,3915000.0,1800,0.265,4193000,POINT(-92.1406 34.4228),2020,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
91,USA,co2,6891000.0,1800,0.468,7381000,POINT(-92.1406 34.4228),2021,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
92,USA,co2,6983000.0,1800,0.474,7479000,POINT(-92.1406 34.4228),2019,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
93,USA,co2e_100yr,6891000.0,1800,0.468,7381000,POINT(-92.1406 34.4228),2021,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
94,USA,co2e_20yr,6891000.0,1800,0.468,7381000,POINT(-92.1406 34.4228),2021,False,False,False,True,False,False,Entergy Arkansas Inc,Entergy,Entergy,White Bluff
95,JPN,n2o,0.0,5334,0.45,21084000,POINT(139.8349 35.3447),2020,False,False,True,False,False,False,JERA Co. Inc,Tokyo Electric and Chubu Electric,Tokyo Electric and Chubu Electric,Futtsu thermal power station
96,JPN,ch4,0.0,5334,0.45,21084000,POINT(139.8349 35.3447),2020,False,False,True,False,False,False,JERA Co. Inc,Tokyo Electric and Chubu Electric,Tokyo Electric and Chubu Electric,Futtsu thermal power station
97,IRQ,co2e_100yr,5510000.0,3500,0.25,7686000,POINT(44.6573 33.1634),2020,False,True,False,False,False,False,,,,Besmaya power station
98,IRQ,co2e_20yr,5510000.0,3500,0.25,7686000,POINT(44.6573 33.1634),2020,False,True,False,False,False,False,,,,Besmaya power station
99,IRQ,co2,5495000.0,3500,0.25,7665000,POINT(44.6573 33.1634),2021,False,True,False,False,False,False,,,,Besmaya power station
